NIDN,Nama,Email,NoHP,BidangKeahlian,Status
10501001,ABD RAHMAN AT TAMIMI,abdrahman.attamimi@stai-dosen.ac.id,081234560001,,AKTIF
10501002,MUBARAK BAMUALIM,mubarak.bamualim@stai-dosen.ac.id,081234560002,,AKTIF
10501003,SALIM ALI GANIM,salim.ganim@stai-dosen.ac.id,081234560003,,AKTIF
10501007,M SULHAN JAUHARI,sulhan.jauhari@stai-dosen.ac.id,081234560004,,AKTIF
10501009,ABDUL ROHMAN HADI,abdulrohman.hadi@stai-dosen.ac.id,081234560005,,AKTIF
10501018,MARYONO,maryono@stai-dosen.ac.id,081234560006,,AKTIF
10501031,FARID,farid@stai-dosen.ac.id,081234560007,,AKTIF
10501032,FADLAN FAHAMSYAH,fadlan.fahamsyah@stai-dosen.ac.id,081234560008,,AKTIF
10501036,OSCAR WARDHANA WINDRO SAPUTRO,oscar.windro@stai-dosen.ac.id,081234560009,,AKTIF
10501072,AGUNG PRANOTO KADIATMAJA,agung.pranoto@stai-dosen.ac.id,081234560010,,AKTIF
10501094,CATUR BARO HAPSAKO,catur.hapsako@stai-dosen.ac.id,081234560011,,AKTIF
10501098,FIKRY FIRMANSYAH,fikry.firmansyah@stai-dosen.ac.id,081234560012,,AKTIF
10501103,SIRAJUL YANI,sirajul.yani@stai-dosen.ac.id,081234560013,,AKTIF
10501107,MUHAMMAD AZHARI ARGA SEWAKOTAMA,azhary.sewakotama@stai-dosen.ac.id,081234560014,,AKTIF
10501109,HARIS HERMAWAN,haris.hermawan@stai-dosen.ac.id,081234560015,,AKTIF
10503001,SLAMET MULIONO REDJOSARI,slamet.redjosari@stai-dosen.ac.id,081234560016,,AKTIF
10503003,ACHMAD FAUZI,achmad.fauzi@stai-dosen.ac.id,081234560017,,AKTIF
10503005,MUHAMMAD NUR IHSAN,m.nurihsan@stai-dosen.ac.id,081234560018,,AKTIF
10503006,GHOZALI AZIS,ghozali.azis@stai-dosen.ac.id,081234560019,,AKTIF
10503007,FUAD ABBAS,fuad.abbas@stai-dosen.ac.id,081234560020,,AKTIF
10503008,NASARUDDIN,nasaruddin@stai-dosen.ac.id,081234560021,,AKTIF
10503009,NASIKUL MUSTOFA EFENDI,nasikul.efendi@stai-dosen.ac.id,081234560022,,AKTIF
10503010,FAHMI ABDURAB ALKATIRI,fahmi.alkatiri@stai-dosen.ac.id,081234560023,,AKTIF
10503015,SUMAYYAH BT MUBARAK BAMUALIM,sumayyah.bamualim@stai-dosen.ac.id,081234560024,,AKTIF
10503016,NISWATIN KHOIRO,niswatin.khoiro@stai-dosen.ac.id,081234560025,,AKTIF
10503017,EHAB NADER ALI MOUSA,ehab.mousa@stai-dosen.ac.id,081234560026,,AKTIF
10503018,MARWA AKMALIA RIZKA,marwa.rizka@stai-dosen.ac.id,081234560027,,AKTIF
10503019,MOHAMMED EL AMIN MOHAMMED AHMED,mohammed.amin@stai-dosen.ac.id,081234560028,,AKTIF
10503020,BUSRHA AL SYEIKH AL HUSEIN,busrha.husein@stai-dosen.ac.id,081234560029,,AKTIF
10503021,ABDULLAH BAMUALIM,abdullah.bamualim@stai-dosen.ac.id,081234560030,,AKTIF
